time,in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type
2024-04-08 11:59:36,28,0,76,62,0,0,1
2024-04-08 11:59:39,9,0,29,27,1,0,1
2024-04-08 11:59:58,16,0,31,24,0,0,1
2024-04-08 11:59:59,9,0,40,39,0,0,1
2024-04-08 12:00:04,0,0,198,154,0,0,1
2024-04-08 12:00:05,26,0,94,86,0,0,1
2024-04-08 12:00:07,42,0,102,64,0,0,1
2024-04-08 12:00:12,46,0,93,67,0,0,1
2024-04-08 12:02:00,27,0,117,155,0,0,1
2024-04-08 12:02:31,0,11,55,58,0,0,0
2024-04-08 12:02:47,21,0,73,75,1,0,1
2024-04-08 12:03:27,0,0,142,272,0,0,1
2024-04-08 12:04:05,9,0,50,62,0,0,1
2024-04-08 12:04:07,0,0,49,83,0,0,1
2024-04-08 12:05:49,17,0,144,157,0,0,1
2024-04-08 12:08:44,20,0,100,103,1,0,1
2024-04-08 12:09:14,0,0,55,451,0,0,1
2024-04-08 12:09:40,19,0,70,57,0,0,1
2024-04-08 12:10:02,12,0,61,127,1,0,1
2024-04-08 12:12:56,50,0,206,200,0,0,1
2024-04-08 12:13:17,0,0,223,248,1,0,1
2024-04-08 12:13:23,31,0,81,79,0,0,1
2024-04-08 12:14:46,0,0,29,277,0,0,1
2024-04-08 12:16:51,19,0,79,82,0,0,1
2024-04-08 12:20:45,25,0,148,157,0,0,1
2024-04-08 12:21:26,0,55,79,111,0,0,0
2024-04-08 12:27:42,0,23,85,89,0,0,0
2024-04-08 12:35:05,0,30,57,72,1,0,0
2024-04-08 12:35:06,0,10,31,27,1,0,0
2024-04-08 12:38:00,33,0,88,95,0,0,1
2024-04-08 12:39:32,16,0,161,185,0,0,1
2024-04-08 12:39:53,0,37,44,63,0,0,0
2024-04-08 12:41:46,0,34,75,80,1,0,0
2024-04-08 12:53:43,0,33,44,60,1,0,0
2024-04-08 12:58:29,31,0,229,225,1,0,1
2024-04-08 12:59:52,0,17,38,42,0,0,0
2024-04-08 13:01:24,0,16,66,65,1,0,0
2024-04-08 13:02:10,36,0,151,133,0,0,1
2024-04-08 13:05:30,0,56,102,143,0,0,0
2024-04-08 13:05:31,0,25,32,46,0,0,0
2024-04-08 13:08:32,0,13,112,97,0,0,0
2024-04-08 13:11:38,0,20,121,123,1,0,0
2024-04-08 13:20:44,0,18,66,62,1,0,0
2024-04-08 13:27:40,0,18,94,98,0,0,0
2024-04-08 13:27:52,0,26,76,90,0,0,0
2024-04-08 13:27:54,0,7,61,63,0,0,0
2024-04-08 13:28:01,0,3,39,52,0,1,0
